Kiểu tin nhắn,Nội dung tin nhắn,Mã người gửi,Tạo lúc
INBOX,Bi viêm âm đạo,7031345473608842,14/04/2024 07:36:10 - 14/04/2024 07:36:10
INBOX,xin giá. xin giá. Xin được tư vấn ạ. E đang bị viêm lộ tuyến cổ tử cung ngua dau rát. E bị bốn năm nay rồi nó cứ tai đi tai lại hiện giờ là đang bị ngứa mép ngoài khí hư ra nhiều hay đâu bụng dưới  quan hệ dau rát. Vâng mk chỉ uống thuốc tây và đặt. Vậy có cách nào chữa khỏi ko ạ. 0989265937. xin giá liệu trình. Viêm lộ tuyến độ 2. Dung thuốc nhưng ko ăn thua. Vâng. 6 hộp bao nhiêu tiền vậy. Cho e 9 hộp. Xóm chự yên Sơn thanh sơn phu Tho  sđt 0989265937. Cách dùng sao có ăn kiêng gì ko. nan. nan. E nhận được hàng rồi nhé. nan. nan. Vâng. E dung het bon hop roi ma van thay ra khi hu ci a,7031428830253360,01/05/2024 13:30:40 - 11/06/2024 08:11:11
COMMENT,Ib,7031508963641173,07/03/2024 20:48:59 - 07/03/2024 20:48:59
COMMENT,.. một liệu trình giá bao nhiêu,7031917906862180,08/01/2024 10:15:33 - 08/01/2024 10:15:56
COMMENT,Xin giá. nan,7032661516853078,03/02/2024 06:49:03 - 03/02/2024 09:01:58
INBOX,phòng viêm phụ khoa có dùng nữ vương new đc k ạ. nan,7032992076767952,18/04/2024 10:40:41 - 28/04/2024 14:03:41
COMMENT,Ib. Ib. Mk bị viêm lọ tuyến.ak. Bị lần đầu ak. Mk sinh bé t2 xong đi khám thi bs bảo vlt. Mk cung đang đặt +uống. K ak. Có khi hư. Thi thoảng mí bị ngứa. K bị đau bụng. G. In. 0355500711. Tv. Mk con nhỏ nên k nghe máy dk. 2.5t ak. 2 tháng rưỡi. E đi khám bs. Vẫn bú ak. Cho con bú uông dk k ak,7033330643443078,14/03/2024 09:12:28 - 19/04/2024 20:27:44
INBOX,mình bị viêm hay có khí hư trắng,7033647343422157,21/02/2024 20:59:28 - 21/02/2024 20:59:28
INBOX,.,7034737506631307,14/04/2024 07:15:23 - 14/04/2024 07:15:23
INBOX,nan. Xin giá ạ,7035701116529629,05/06/2024 18:08:23 - 05/06/2024 18:08:30
INBOX,"Xin giá sp shop ơi. Mình  bị ra khì hư màu  vàng có mùi  hôi tức bụng dưới. Mình  bị cũng  lâu rồi, đă từng đi khám và đặt tuốc nhưng ko khỏi. Tất nhiên liệu là mình muốn dùng  săn phẩm,nhưng điều  mình  lô lắng lad chỉ  sợ  hàng  giả hàng  kém chất lượng. Dùng rồi  tiền mất  tật vẫn mang  thôi .trên mạng lừa đảo  nhiều. Ko biết mình  bị viêm Dạ đầy, đại tràng có sử dụng đcj ko. Lấy 3  hộp có được  khuyến mại ko",7036308476490561,12/01/2024 23:26:45 - 13/01/2024 08:29:04
COMMENT,Xin giá. Xin giá thuốc,7036730553122569,19/03/2024 19:26:33 - 19/03/2024 19:56:38
INBOX,mình muốn tu van,7036839486401340,15/01/2024 19:27:16 - 15/01/2024 19:27:16
COMMENT,Xin giá,7037205273056241,22/03/2024 10:01:54 - 22/03/2024 10:01:54
INBOX,giá nhiêu vậy. thuốc uống hay đặt,7037519369706718,12/05/2024 11:04:10 - 12/05/2024 11:04:30
INBOX,Bao nhiêu 1 liệu trình. Bị khô đau rát. Đi khám thì nói bị viêm cổ tử cung nhẹ khỏi uốn thuốc cũng được. Mà sau ko thoải mái. Đang đặt thuốc mà nó ko cải thiện. Trị cũng nữa tháng rồi,7037562179697578,25/01/2024 12:14:31 - 25/01/2024 14:23:06
INBOX,dung dịch phụ khoa chai nhìu vậy. Nước giữ phụ khoa nhìu vậy. Nữ vương 1 hợp nhìu vậy cj,7037881006319350,23/02/2024 10:47:46 - 11/04/2024 10:47:45
INBOX,"tv sp ạ. viêm phụ khoa có dùng đc k ạ. Viêm âm đạo ạ. Khí hư,huyết trắng nhiều ạ. Dạ e cứ dùng thuốc hết rồi lại bị ạ",7038196766281670,17/06/2024 18:25:01 - 21/07/2024 19:03:15
INBOX,Xin chào. M xin giá thuốc ạ. M bị viêm lộ tuyến cổ tử cung mức độ 3 ạ. Sưng đau. M bị lâu ròi ạ. Cứ đỡ xong lại bị nặng. Khí hư lúc ra nhiều lúc ra ít. Có nóng rát. Tiểu btg. Ko ra máu bất thường ạ. Khí hư kiểu trắng hơi xanh có lúc thì như trứng gà có nhân trắng. Chưa đốt ạ. Bsi bảo đốt với cắt leep nhưng m ko làm. Hiện đanv uống thuốc kháng sinh với đặt thuốc. M có 2 bé rồi năm nay 32 tuôi. nan. Đây ạ. Cách đây 3 tháng. Trước m có test 1 lần rồi ạ. Nhưng lâu rồi. Hơn 6 tháng rồi. Ko bị sao ạ. Vậy an. Ko. Nhưng trên mình cứ viêm nặng tý là đốt hoặc cắt leep hết á. Vậy uống có hết dc konaj. Vì m thấy là nó cứ kiểu sưng nóng ý.  Cứ trị đc thời gian hết xong lại bị.. Mà còn cái polyp nữa uống có hết dc ônaj. Nvay là khỏi đc viêm lộ tuýen ạ. Vậy cái polyp kia ko khỏi thì có bị sao ko ạ. Vâng ạ,7038548582856297,23/02/2024 20:54:45 - 24/07/2024 16:30:22
COMMENT,0916245613,7038872042901242,22/03/2024 19:51:25 - 22/03/2024 19:51:25
INBOX,E muốn tu vấn. Bị viêm lộ tuyến đô 2. Có khi hư màu vàng hôi,7039191312835552,13/01/2024 06:04:32 - 13/01/2024 08:40:12
INBOX,ib,7040451092734622,28/01/2024 09:47:57 - 28/01/2024 09:47:57
COMMENT,.. .. .,7041081079354165,07/04/2024 10:51:37 - 21/04/2024 20:56:31
INBOX,.,7041113499276105,07/02/2024 22:00:07 - 07/02/2024 22:00:07
COMMENT,Xin giá,7041373862629942,06/06/2024 11:45:29 - 06/06/2024 11:45:29
INBOX,lb. Mình bị viêm lộ tuyến thỉnh thoảng cũng bị ngứa khó chị cũng thấy ra nhiều dịch trắng,7041984675904756,12/06/2024 16:04:36 - 12/06/2024 17:03:59
INBOX,giá,7042784359099089,15/04/2024 08:25:55 - 15/04/2024 08:25:55
COMMENT,Xin giá. Bao nhiêu 1 hộp,7042803065735814,23/07/2024 12:47:30 - 28/07/2024 11:03:06
COMMENT,Xin giá ạ. nan. Đây là hình ảnh tình trạng bệnh của mình vừa đi khám hôm kia ạ,7043500429030433,07/02/2024 14:19:10 - 07/02/2024 15:17:37
INBOX,alo. tv gjup tôi. 0937144807. đang co kinh bt uong bi mất kinh luon. tv gjup tôi sđt 0909014929,7043734225718143,04/02/2024 08:10:34 - 22/04/2024 17:47:50
INBOX,Dạ vâng. Em gần 3 tháng k thấy kinh ra ah .đau khô dát k có nc ah giờ bs gi để kinh ra ah,7043784005674571,05/02/2024 21:44:32 - 05/02/2024 21:44:53
INBOX,"xin giá. E hay ra khí hư màu trắng  lợn cợn như bã đậu kèm ngứa rát. Khí hư có mùi hôi. E dùng viên đặt và dung dịch sát trùng âm đạo c ạ. Chỉ cần uống 1 hộp hay phải theo liệu trình như nào bs. Vâng c. Gửi về ninh bình có phí ship ko ạ. Cho e mỗi loại 1 hộp nhé ạ. Sn13/ tổ 16 trung sơn ,tam điệp ,ninh bình. 0918095089",7043833095686395,16/02/2024 20:47:29 - 18/02/2024 10:48:52
INBOX,mình muốn tv ak. Dạ. Em thường cứ hết kinh la ra huyết trắng va cam giac bi ngứa. Da chua ak. Da e dang làm ak. Vang ak. 0964509779,7044187358935569,22/01/2024 12:35:28 - 22/01/2024 18:06:14
INBOX,Bên mình có thuốc đặt viêm lộ tuyến k ak. Mình đi khám bs kêu bị viêm lộ tuyến cấp độ 1. Bên mình k có thuốc đặt ak. Cũng lâu rồi. Dạ khí hư k nhiều màu vàng cũng có mùi hôi,7044623712333576,04/04/2024 10:22:47 - 04/04/2024 10:30:06
INBOX,.. .. Cho em xin giá ạ. .,7044647862303342,07/06/2024 14:18:07 - 16/08/2024 13:32:11
INBOX,.. Em bị viêm lộ tuyến độ 2 ạ. Chưa điều trị gì hết ạ,7044694212274885,04/02/2024 12:35:31 - 05/02/2024 15:13:39
INBOX,Tiệm thuốc Tây có thuốc có ko mình mua. Ơ Vĩnh Long. nan,7044808312277484,26/02/2024 21:33:30 - 27/02/2024 12:21:17
INBOX,Chi oi,7045006362268774,17/07/2024 03:31:09 - 17/07/2024 03:31:09
INBOX,E quan tâm đến sp ạ. E bị vlt thì liệu trình ntn ạ. Cấp 3 ạ. E kug đặt uog nhiu loại thuốc oy. Tây nam cả oy. Nhưng đỡ xong lại tái. E đủ cả oy. Cả uog cả đặt. Thuốc bên mh thì lt ntn ạ. Vậy 6thag dùng thì bn tiền c. 1h thì bn ạ. Chỉ uog vs rửa thôi ạ. K có đặt ak c,7045329928920459,31/01/2024 14:44:00 - 01/02/2024 10:15:08
INBOX,Ib,7045726805538695,13/03/2024 06:32:40 - 13/03/2024 06:32:40
INBOX,mình xin được tư vấn,7045841115534661,27/01/2024 15:49:34 - 27/01/2024 15:49:34
INBOX,Xin gia chị ơi. Chị ơi em 2 tháng ni rành cứ lướt huyết trắng mơ vàng em xông trầu không hàng ngày cả rửa về sinh hàng ngay cũng ko bớt,7046356708823280,03/04/2024 21:46:04 - 03/04/2024 22:12:44
COMMENT,Giá bao nhiêu ạ. Em bị viêm lộ tuyến ạ. Mấy tháng nay ạ. Bị lần đầu ạ. Có huyết trắng khí hư và hôi,7046744478673332,12/03/2024 16:00:03 - 12/03/2024 16:19:28
INBOX,alo. muốn mua thuoc. alo. 1800558889. alo. nan. 0908513013. 0908514013. ali. nan. Em muon múa thuoc uống,7046775918765260,07/04/2024 05:28:03 - 28/04/2024 12:42:09
INBOX,.,7047166882058272,30/03/2024 18:53:24 - 30/03/2024 18:53:24
INBOX,xin gia a. 0372526075  xin được tư vấn,7047178505382441,16/06/2024 22:22:16 - 17/06/2024 06:26:15
INBOX,.. Mình bị viêm lộ tuyến tử cung. Hiện tại thì ko bị hôi chỉ bị huyết trắng ko loãng ko đặt nhưng vẫn ko hết ko bị ngứa. Bị cấp độ 1 hết 1lan oy giờ tái lại. Bị mấy năm nay oy. Vâng vậy bên mình có sản phẩm nào giúp mình ko?. 0967763408,7047233748694140,02/01/2024 21:00:17 - 06/01/2024 11:25:14
INBOX,giá bộ sp bên mình. Ngứa. Mình mới sinh bé đc 7 tháng rưỡi. Có kinh lại là thấy khó chịu luôn. Cái đầu tiên á. Sau sinh em bé .. Hồi đó có bị có dùng nữ vương new. Liệu trình mình sd ntn,7047339625382790,11/01/2024 07:43:05 - 15/01/2024 19:43:35
COMMENT,"Giá sao ak. E đi khám bệnh viện Từ Dũ tu cung co chất va viêm nhiễm va khối u nhỏ, bác sĩ cho đặt thuốc 1 tuần tai khám ma không het giờ con đang tiếp tục điều trị ak. Da đe chiều e về e gửi kết quả va thuốc đang điều trị cua bệnh viện cho ak.giờ e đang đi làm",7047957971930791,01/02/2024 21:03:13 - 02/02/2024 11:56:36
INBOX,.. .. .,7048257798522473,08/04/2024 20:22:23 - 11/07/2024 21:29:40
INBOX,cháu muốn biết thêm về sản phẩm này được ko ạ,7048862881887329,27/01/2024 12:30:50 - 27/01/2024 12:30:50
INBOX,Giá ntn ah?,7049042925178307,14/01/2024 20:07:22 - 14/01/2024 20:07:22
INBOX,"giá hộp nhiêu vậy ạ. Mình bị huyết trắng , ngứa. Uống thuốc tây giờ hết ngứa rồi, mà vẫn bị huyết trắng ra hàng ngày, nên muốn mua thuốc nữ vương. Cũng mới bị trong năm nay thôi. Còn ra huyết trắng như sữa đông vậy. 1 liệu trình dùng mấy hộp ạ. 1 liệu trình uống mấy hộp vậy, xin giá luôn. Giá nhiêu vậy shop",7049776278434125,05/02/2024 13:26:07 - 07/04/2024 07:22:21
INBOX,cho em xin giá. à em hơi bị ngứa sau khi kinh nguyệt hết ấy ạ với lại da e bị dị ứng nên hay nổi mẫn đỏ và ngứa nên em muốn tìm hiểu xem dung dịch vệ sinh ạ. nan. cho em xin giá ạ,7049896941768747,29/01/2024 20:59:37 - 21/04/2024 12:40:47
COMMENT,"Ib. Em bi ngứa rat , ra khí hư có dùng nữ vương đc ko. Em bi ngứa rat , ra khí hư có dùng nữ vương đc ko",7049953741783367,11/04/2024 20:56:20 - 12/04/2024 07:07:32
INBOX,Xin gia,7050151641719625,20/01/2024 14:01:34 - 20/01/2024 14:01:34
INBOX,.. bị viêm lộ tuyến cổ tử cung mức độ 3  ak có khoi không ak. bị viêm lộ tuyến cổ tử cung mức độ 3 ak điều trị thế nào ak,7050380601747735,28/06/2024 20:13:47 - 14/07/2024 12:25:33
COMMENT,..,7050842175025787,31/03/2024 21:38:31 - 31/03/2024 21:38:31
INBOX,xin giá nữ vương new,7050865671634429,03/03/2024 15:48:08 - 03/03/2024 15:48:08
INBOX,Xin giá ạ,7052082551577539,27/02/2024 20:13:40 - 27/02/2024 20:13:40
INBOX,ib. E bị nấm ạ. SD nh SP k hết. Còn ra huyết trắng ạ. Tái ạ. 30v dùng đc mấy ngày. Ngày bao nh viên ạ. SD bao lâu thấy có hiệu quả ak. Giờ SD bao nh ngày ạ. 205k/1 hộp,7052482838206903,05/05/2024 17:04:30 - 06/05/2024 10:01:05
INBOX,xin giá. Tôi bị khô hạn. 34. Cũng lâu ạ. 1 bé ạ. xin giá. mình bị khô hạn đau rát. 1 hộp uống đc mấy ngày ạ. Liệu trình mấy hộp ạ,7052484944819581,04/02/2024 14:52:55 - 04/03/2024 13:47:21
INBOX,bao nhiêu tiền một hộp vậy chị,7052666824839943,11/04/2024 14:18:02 - 11/04/2024 14:18:02
COMMENT,Xin giá,7053282051392610,01/03/2024 05:06:26 - 01/03/2024 05:06:26
INBOX,.,7054247781323790,23/01/2024 08:36:27 - 23/01/2024 08:36:27
INBOX,xin giá. Ngày dùng 1 viên hả. nan. xin giá. xin giá. Có bán ở nhà thuốc ko ạ. Ở Huế. nan. nan. mình bị viêm lộ tuyến đang đặt thuốc có sử dụng sản phẩm này được không. Độ 2. xin giá. Mình bị viêm lộ tuyến. Độ 3. xin giá. Mình đi khám phụ khoa bs bảo bị viêm lộ tuyến. Độ2. Mình đi khám bs có chi thuốc uống kết hợp với thuốc đặt nên thấy khí hư ra cũng ít. xin giá,7054744164650908,19/04/2024 09:07:44 - 30/07/2024 09:40:25
INBOX,Giá như thế nào ạ,7055907241188062,03/04/2024 14:31:48 - 03/04/2024 14:31:48
INBOX,chào chị. ngũa. với bi nhừ nấm. lâu lâu bị. lần. ko. chị đi khám  phụ khoa. bác sĩ  đưa thuốc đặc. hết nghỉ. giờ bị lại. Cũng bị đau bụng dưới. nữa. thuốc này đặt dưới  uống ha chị. uống bao lâu chi. hộp nhiêu tiền. ty nữa e trả lời chị sao. nha,7056209851123543,18/01/2024 15:32:54 - 18/01/2024 15:52:06
INBOX,Bị viêm lộ tuyến uống như thế nào ạ. Cấp độ 3. Vậy có uống đc ko. Vậy uống như nào ạ,7056442077817348,07/04/2024 17:58:05 - 09/04/2024 11:08:27
INBOX,Cho xin giá. Tv bệnh viêm âm đạo khí hư thất thường. 38t 2 bé có bị huyết trắng nhưng mới bị có dịch hơi xanh ngoài ra không bị gì e đang đặt thuốc bsgyno plus. Vậy tv thuốc giúp e. Viên đặt hay uống vậy chị. Giá nhiêu 1 hợp. Thuốc này mua ở nhà thuốc Long châu có hôn chị. Vậy liệu trình mình uống bao lâu,7056565377780429,19/07/2024 15:12:01 - 20/07/2024 10:39:06
COMMENT,Xin giá,7056633474415168,02/01/2024 11:40:35 - 02/01/2024 11:40:35
INBOX,nan,7056765261103726,01/02/2024 09:27:19 - 01/02/2024 09:27:19
INBOX,"Tư vấn sp giúp m với. M thường xuyên bị ngứa,chữa chỉ đỡ chứ ko dứt. Viên uống hay đặt vậy ạ. Uống không liệu có hiệu quả ko. Chỉ ngứa rát và huyết trắng. Cách đây 2 tháng m có chữa ở BV từ dũ nhưng chỉ đỡ tg đầu, giờ lại ngứa rát. Thấy ghi là nấm hỗn hợp. M đặt thuốc có đỡ khí hư nhưng vẫn ngứa. Ko có. SP có trị dứt điểm đc không b",7056848711031364,20/02/2024 16:01:01 - 20/02/2024 19:40:00
INBOX,giá bao nhieu một hộp vay a,7057233437719308,12/04/2024 20:05:51 - 12/04/2024 20:05:51
COMMENT,Xin giá ạ,7058235864242822,19/01/2024 20:45:22 - 19/01/2024 20:45:22
COMMENT,.,7058759587506257,06/03/2024 12:37:35 - 06/03/2024 12:37:35
INBOX,tv,7058867160881675,10/07/2024 07:59:27 - 10/07/2024 07:59:27
INBOX,Ib,7059150464136204,12/04/2024 14:33:00 - 12/04/2024 14:33:00
INBOX,e bị viêm lộ tuyến tái lại nhiều lần. bác sĩ tư vấn cho em với ạ,7059400397501079,02/02/2024 07:54:28 - 02/02/2024 07:54:40
COMMENT,..... Xin giá,7059427150836185,21/04/2024 15:48:19 - 21/04/2024 15:49:29
INBOX,Xin giá sp,7059644310812742,04/04/2024 20:55:48 - 04/04/2024 20:55:48
INBOX,Ib giá ah. Dạ khí hư ra nhiều và ướt ah. Cũng xuất hiện mùi hôi. Dạ k ah. Khí hư lỏng ah. Dạ e chỉ thay DDVS và quần chip ah. Dạ trc đây là chỉ lúc gần ngày kinh mới có. Giờ thấy nhiều hơn ah. Vâng. Dạ. Là thuốc đây ah,7059968650764907,29/02/2024 05:15:51 - 29/02/2024 12:12:10
INBOX,xin gia,7060221350697751,24/02/2024 17:17:56 - 24/02/2024 17:17:56
COMMENT,Mua thuốc ở nhà thuốc ở đâu chỉ dùm em với nhé.,7060322684029348,13/01/2024 20:00:04 - 13/01/2024 20:00:04
COMMENT,Xin giá ạk,7060431044057641,18/06/2024 19:46:41 - 18/06/2024 19:46:41
INBOX,.,7060624717391940,18/02/2024 01:07:05 - 18/02/2024 01:07:05
INBOX,.. Mình muốn tư vấn và điều trị viêm âm đạo. Ko tôi chỉ ra khí hư đục đục và thỉnh thoảng ngứa thôi. Tôi 45 tuổi đã sinh 2 cháu. Tôi nghi vậy chứ ko có đi khám. Ko dùng thuốc gì. Vậy phải dùng thuốc ntn ạ. Giá thuốc ntn. Uống bn hộp là khỏi v ạ. Nhiều tiền v à,7060746257360100,03/06/2024 09:40:30 - 03/06/2024 13:31:04
INBOX,thuốc nữ vương nếu giá bao nhiêu ạ bác sĩ. giá bao nhiêu một lỗ trình vậy ạ. xin gia 3 và nước vệ xinh a. Gửi cho em một hộp và một rửa vệ xinh nha. Trịnh Thị Tuyết xóm 9 xã Thọ Ngọc huyện Triệu Sơn Thanh Hóa. 0325493945. Chị ơi em xin hủy đơn thuốc nhé em ko lấy nữa. Em đi viện khám rồi nha chỉ bị viêm nhẹ bác sĩ cát thuốc em uống rồi ạ,7060830214036141,24/02/2024 06:07:10 - 11/05/2024 14:57:35
INBOX,Lộ trình và giá bn shop,7061342007266467,18/01/2024 15:12:24 - 18/01/2024 15:12:24
INBOX,"điều trị vlt độ 2  bằng nữ vương new thì mất bao nhiêu tháng. Mấy liệu trình ah. Mình bị 8 năm rồi. Chỉ đặt thuốc thôi. Hiện tại mình đang dùng viên đặt tiêu viêm nữ, dòng thảo dược. Phác đồ bên ac như thế nào. nan. vlt độ 2 có chữa khỏi hoàn toàn đc ko. Nó có nhược điểm là phải dùng quá lâu 6 tháng",7063507260419982,22/05/2024 21:25:27 - 10/07/2024 20:11:35
INBOX,xin giá 1 bộ. Ko có thuốc đặt à shop. Bị khí hư huyết trắng. Dạ có. Tại thấy ngta bị nói mua viên đặt nữa. Dạ chưa chị. Uống thuốc bên cj và rửa thui có hết không. Hay phải đặt thuốc nữa. Vậy chị có bán luôn thuốc đặt ko ạ. Vậy chị có bán luôn thuốc đặt ko ạ,7063737927043842,01/02/2024 20:23:50 - 04/02/2024 18:26:13
COMMENT,.. Em ra khí hư với ngứa. 1 tháng ạ. Có ạ. Điêu trị sao ạ. Ra tiệm thuốc mua thuoc đặt nao ap. Khi hư đục lợn cợn như bã đậu. Nay minh sư dung sau ạ. Đặt khỉa máy ngay ạ. Gio mình gần có kinh. Gio đợi co xong moi đặt thuoc phải khômg. Đặt bao nhiu ngay á. Gia sao ạ,7063738560414771,17/03/2024 04:18:34 - 22/03/2024 17:13:17
INBOX,Hi,7063826067055534,12/04/2024 18:36:15 - 12/04/2024 18:36:15
COMMENT,.. Mình thỉnh thoảng  hay bị viêm  âm  đạo  . Hay  tái lại  ạ. Viêm  tạp khuẩn  kg có nấm ạ. Đặt thuốc  thì  lại hết ạ. Đúng  rồi ạ. Mình  cứ  tái đi tái lại  đó. Giờ  kg muốn  đặt  thuốc  nhiều  nó kháng thuốc. nan. Mình  đang  uống  lợi khuẩn  rồi. Optibac. Thế bên  bạn  sp như  thế nào  ạ?. Thuốc  giá sao và dùng  ntn ạ?. Ngày  uống  mấy  viên ạ. nan,7064013570278228,21/04/2024 19:38:17 - 23/04/2024 09:11:42
INBOX,xin giá,7064358290334620,28/04/2024 10:30:36 - 28/04/2024 10:30:36
INBOX,xin giá,7065487810220645,07/07/2024 11:31:55 - 07/07/2024 11:31:55
INBOX,Can đuoc tu van ạ. E bị viem lo tuyen giáp co tu cung. E đa đat rat nhieu thuoc. Ma tình trạng không tốt hon ạ. Da e đi từ vũ. 3 thang đi mot lan. E đag thuoc á. Neu e su dụng san pham ben chị z e r e vao bẹnh vien kham benh. Bs cung cho thuoc uong thuoc đat. Z e phai su dung the nao ạ. Co chac se het ko ạ. Z e su dụng se het han đung ko ạ. Z neu h e đat hang. Con giao ko ạ. E o binh duong. Z qua tet e đat ạ. Sao uong thuoc nhieu z ạ. Chị oi e ko noi tien. Ma e noi uong thuoc 1 ngay qua nhieu. Thuoc tay rat độc uống nhw nhu z ko biet co sau ko. Tại e chi moi co ck. Chua sinh con. Ma e bị bẹnh nay. Nen e thay uong thuoc nhieu e so. Z cho e bt 1 lieu trinh gom nhung j ạ. E còn lịch tái khám cua bs nua ạ. Neu bs cho e thuoc uong nhw. Z e su dung nu vuong sao ạ. Ý e. Bs si cho thuoc uong. R e se ket hop sao á chị. Cùng luc uong 2 loại thuoc ha. Co bị s ko ạ. E thay so thuoc lw ạ. Thuoc nay se hêt benh đung ko ạ. E đat thuoc ạ. Z tháng đầu 1 ngày 9 vien đung ko ạ. Cho e đat 9 hop ạ. nan. nan,7066366333439973,04/02/2024 08:48:26 - 26/02/2024 14:56:09
COMMENT,"Ib. Em đang bị u xơ tc L 4. Vaf bij viem nấm, viem ctc. E đang dùng thuôc bs kê đơn tri nấm. Mình dùng kèm thêm 2-3 loại thuoc vay thì có sao không ạ. E nghe nhiều bs quảng cáo du loại thuoc nên hoang mang ko biết loại nào tốt ,. Và có nên dùng hay ko hay chỉ dùng thuốc bs kê toa là dc ạ?. Mình dùng kèm thêm 2-3 loại thuoc vay thì có sao không ạ. Thuốc đó là hổ trợ chứ ko phải điều trị đúng ko ạ. E bị tái đi tái lại nhiều lần",7066560260119808,19/03/2024 08:29:18 - 19/03/2024 10:29:35
INBOX,Sin hỏi đang bầu có uống được không ạ,7066609146766564,16/05/2024 07:49:02 - 16/05/2024 07:49:02
INBOX,Xin giá. Em mới đi khám lúc sáng em bi viêm lộ tuyến cổ tử cung. Mới bị lan đâu,7067049423394897,29/05/2024 17:21:59 - 30/05/2024 06:05:31
INBOX,chào,7067559286683209,07/04/2024 12:12:25 - 07/04/2024 12:12:25
INBOX,Ib,7068001813288695,03/02/2024 07:52:32 - 03/02/2024 07:52:32
INBOX,bao nhieu bo vien phu khoA,7068528583263307,26/01/2024 12:10:38 - 26/01/2024 12:10:38
INBOX,Tôi bị viêm lộ tuyến. Ngứa mép ngoài ra khí hư có mùi. Bị khoảng 3 tuần rồi,7068789383240590,10/03/2024 12:16:13 - 11/03/2024 11:29:04
INBOX,Xin tư vấn ạ.,7069460079780603,27/05/2024 09:18:33 - 27/05/2024 09:18:33
INBOX,Lấy 1 lọ gel vệ sinh ah. Sao ko gửi. 1 chai geo vệ sinh ạ. nan. Ok. Dp gia vinh mới gửi zalo ah,7069492056396128,13/01/2024 14:33:39 - 01/05/2024 20:38:35
INBOX,"hộp này giá nhiêu. 0829340767. chị mua 3 hộp nha. ấ1 hộ phòng giá rai bạc liêu
0829340767",7069517969764394,15/02/2024 19:54:44 - 16/02/2024 10:14:53
COMMENT,Giá. Ib. Ib. Bao nhiêu tiền. Em ở nghệ an ở tiệm thuốc có bán không ạ. Dạ em cảm ơn chị,7069928196454966,09/01/2024 06:57:07 - 17/06/2024 12:03:08
COMMENT,Xin giá. Xin giá sp nữ vương. Xin giá sp. Một hộp uống được bao lâu ạ. Nữ vương gel dùng để làm gì rửa vệ sinh à. Tôi muốn đặt 6 hộp,7069946963043026,10/01/2024 07:12:22 - 12/03/2024 21:26:47
INBOX,giá  bao nhiêu  liệu trình vẫy. Tư vấn về các loại  bênh mà  nư vương  điều trị  ạ,7070022169741727,19/02/2024 14:56:06 - 19/02/2024 15:16:59
INBOX,"giá ạ. ,. giá 1 bộ bnhieu ạ. giá ạ. 1",7071317102990763,05/03/2024 16:49:18 - 25/06/2024 12:37:15
COMMENT,Ib. Em bị viêm tử cung uống có khỏi ko ạ. Viêm lộ tuyến nữa ạ. Quan trọng là sản phẩm tốt ạ. Hiện tại mình đang bị rong kinh. Đi khám bác sĩ bảo bị như trên mình nói đó. Bác sỹ bảo độ 3. Mình khám cách đây 10 ngày rồi. Uống thuốc mà ko thấy hết rong kinh ạ. Năm nay mình 40 tuổi. Vâng. Giờ uống thuốc này có xuyên giảm ko ạ. Vâng. Cái này là uống à b. Hiện tại em đang uống thuốc của bác sỹ. Uống cái này cũng được ạ. Mình mua 3 hộp một có được ko. Mỗi hộp được bao nhiêu viên ạ. Ngày uống 9 viên à b. Ngày uống ba lần cơ à. Thuốc này là thuốc nam ạ. Thuốc này đúng như bác sỹ nói ko ạ. Vì thấy nhiều nhà thuốc đăng lên quá. Mình cứ phân vân. nan. Có gì mình nhắn sau nhé đang có tý việc. Hiện giờ mình đang uống thuốc của b sỹ kê đơn rồi. Sợ uống hai loại ko được ý b. nan,7071756062916267,27/01/2024 17:32:24 - 30/01/2024 10:17:39
INBOX,Nhiêu tiền họp. Uống bao nhiêu họp là khởi,7071807212923588,08/07/2024 21:01:59 - 08/07/2024 21:02:22
INBOX,bao nhiêu môt liệu  vậy ạ. Mình bị vlt cấp độ 2. Hiện giờ đang dùng thuốc uống và đặc,7072395796211593,11/03/2024 11:39:47 - 11/03/2024 11:43:04
INBOX,nụ vương New là thuốc đặt hả bác,7072428316167006,04/01/2024 18:45:27 - 04/01/2024 18:45:27
